date,awb,status,customer,dc,c_id,c_pincode,city
12/1/2018 0:00,972595761,2,701763,TLI,850964,5222,TENALI
12/1/2018 0:00,960313789,0,221904,BRP,133935,7001,BARUIPUR
12/1/2018 0:00,960313828,0,221904,KCI,129725,6820,KOCHI
12/1/2018 0:00,972595878,0,701763,BLY,452461,5600,BENGALURU
12/1/2018 0:00,972597610,2,701763,CJS,913841,6410,COIMBATORE
12/1/2018 0:00,972597623,2,701763,TLM,758655,6705,Taliparamba
12/1/2018 0:00,972596096,0,701763,BLJ,379288,5600,BENGALURU
12/1/2018 0:00,972596117,2,701763,GOT,952572,7126,GOGHAT
12/1/2018 0:00,978869984,0,521505,MRS,633226,4580,MANDSAUR
12/1/2018 0:00,972596245,0,701763,TVN,302632,6950,THIRUVANANTHAPURAM
12/1/2018 0:00,972597743,2,701763,NYG,894805,7520,NAYAGARH
12/1/2018 0:00,972597758,2,701763,THA,832718,6801,THRIPRAYAR
12/1/2018 0:00,960314016,0,221904,SGX,871742,7340,SILIGURI
12/1/2018 0:00,972596500,0,701763,CJS,696508,6410,COIMBATORE
12/1/2018 0:00,972596545,0,701763,PKO,714544,5342,PALAKOLLU
12/1/2018 0:00,972596569,0,701763,MAR,843541,6000,CHENNAI
12/1/2018 0:00,250554556,0,35375,AOO,743286,6895,ADOOR
12/1/2018 0:00,978206060,2,231382,AHM,455258,3800,AHMEDABAD
12/1/2018 0:00,972596735,0,701763,CDU,390369,4427,CHANDRAPUR
12/1/2018 0:00,972597870,0,701763,HYL,576563,5000,HYDERABAD
12/1/2018 0:00,978864016,0,521505,BMU,936043,4000,MUMBAI
12/1/2018 0:00,972596957,0,701763,BLI,859685,5600,BENGALURU
12/1/2018 0:00,972596972,2,701763,NMK,141551,6381,NAMAKKAL
12/1/2018 0:00,972596994,0,701763,TIS,729898,6880,THRISSUR
12/1/2018 0:00,972597014,0,701763,HJI,586048,7824,HOJAI
12/1/2018 0:00,972597018,0,701763,PCK,659828,4121,POONA CHAKAN
12/1/2018 0:00,972597948,2,701763,NLB,409855,6793,Nilambur
12/1/2018 0:00,972597054,0,701763,NGN,251097,4400,NAGPUR
12/1/2018 0:00,972597962,0,701763,AOO,348973,6915,ADOOR
12/1/2018 0:00,959462945,0,92006,SUC,851252,3950,SURAT
12/1/2018 0:00,959462955,0,92006,SXF,583038,1900,SRINAGAR
12/1/2018 0:00,959462948,2,92006,UKI,875097,8521,UDAKISHANGANJ
12/1/2018 0:00,959462943,0,92006,KOL,233325,7824,KATHIATOLI
12/1/2018 0:00,978206952,0,231382,HYG,530828,5000,HYDERABAD
12/1/2018 0:00,962864593,0,35375,CRK,778091,2102,CHITRAKOOT
12/1/2018 0:00,977533274,2,831575,CDB,554987,7561,CHANDBALI
12/1/2018 0:00,978207164,2,231382,SMI,721716,8433,SITAMARHI
12/1/2018 0:00,978862753,0,521505,SVG,841999,6305,SIVAGANGAI
12/1/2018 0:00,250567874,0,35375,PLK,552728,6866,PALA
12/1/2018 0:00,283132337,0,241069,SRI,887879,7311,SIRUI
12/1/2018 0:00,978862714,0,521505,HYL,789371,5000,HYDERABAD
12/1/2018 0:00,978207398,0,231382,SEA,848278,4756,SEONDHA
12/1/2018 0:00,973469842,0,71102,DMT,417346,4936,DHAMTARI
12/1/2018 0:00,973469845,0,71102,RIG,658240,4964,RAIGARH
12/1/2018 0:00,978862539,0,521505,DGR,814584,7132,DURGAPUR
12/1/2018 0:00,285025159,0,231382,MAC,979227,6000,CHENNAI
12/1/2018 0:00,977533519,0,831575,DGL,318740,6240,DINDIGUL
12/1/2018 0:00,285025161,0,231382,VTG,297248,5300,VISAKHAPATNAM
12/1/2018 0:00,977533521,0,831575,INF,250704,6823,Infopark-Ernakulam
12/1/2018 0:00,978207548,0,231382,HYM,715360,5000,HYDERABAD
12/1/2018 0:00,977533522,0,831575,EDE,123805,6380,ERODE
12/1/2018 0:00,978207550,0,231382,VSI,854797,4012,VASAI
12/1/2018 0:00,978207551,0,231382,VSI,854797,4012,VASAI
