date,awb,status,customer,dc,c_id,c_pincode,city
1/1/2019 0:00,984908682,0,30893,GAN,640208,3820,GANDHI NAGAR
1/1/2019 0:00,984973005,0,30893,VMM,762270,3821,VIRAMGAM
1/1/2019 0:00,287033528,0,30893,BDC,107342,3917,BARODA
1/1/2019 0:00,287034343,0,30893,KSD,432296,3622,KESHOD
1/1/2019 0:00,985033494,0,30893,MVB,433380,3642,MAHUVA BHAVNAGAR
1/1/2019 0:00,985052508,0,30893,NVS,610444,3964,NAVSARI
1/1/2019 0:00,287055206,0,30893,VJF,976437,3828,VIJAPUR
1/1/2019 0:00,985063480,0,30893,JBU,191724,3921,JAMBUSAR
1/1/2019 0:00,985066444,0,30893,AKV,740210,3941,ANKLESHWAR
1/1/2019 0:00,985204463,0,30893,KPW,755876,3882,KAPADWANJ
1/1/2019 0:00,989943966,0,662040,PNU,582040,3850,PALANPUR
1/1/2019 0:00,989944037,2,662040,KAY,646108,6865,KOTTAYAM
1/1/2019 0:00,989944090,0,662040,DKA,101676,8141,DUMKA
1/1/2019 0:00,971551209,0,92006,MNG,562786,7857,MERAPANI
1/1/2019 0:00,990004118,2,60230,DPJ,929730,6367,DHARMAPURI - TN
1/1/2019 0:00,990047351,0,911254,DTL,914229,5344,DWARAKA TIRUMALA
1/1/2019 0:00,990047385,0,911254,ELU,297560,5340,ELURU
1/1/2019 0:00,989111870,2,701763,ITY,960599,6706,IRITTY
1/1/2019 0:00,971559425,0,92006,MRD,605726,2332,MARDAH
1/1/2019 0:00,938969980,0,10638,REW,847661,4860,REWA
1/1/2019 0:00,938946541,0,10638,BLF,286956,5600,BENGALURU
1/1/2019 0:00,164691107,0,10638,BLH,871770,5600,BENGALURU
1/1/2019 0:00,971565807,0,92006,SOO,713293,1932,SOPORE
1/1/2019 0:00,884249163,0,35375,VYY,839152,5211,VUYYURU
1/1/2019 0:00,884250071,0,35375,CMM,754121,6763,Chemmad
1/1/2019 0:00,989711859,2,231382,NXL,140550,7340,NAXALBARI
1/1/2019 0:00,990197731,0,662040,SML,444950,1710,SHIMLA
1/1/2019 0:00,990197794,0,662040,CSI,708017,2444,CHANDAUSI
1/1/2019 0:00,990197993,2,662040,RCM,148865,5332,RAMACHANDRAPURAM
1/1/2019 0:00,990198028,0,662040,KGD,892070,6713,KANHANGAD
1/1/2019 0:00,990198046,0,662040,KRT,219309,7221,KHATRA
1/1/2019 0:00,884264670,0,35375,GMI,890805,4776,GORMI
1/1/2019 0:00,990198372,2,60230,GZC,335037,2010,GHAZIABAD
1/1/2019 0:00,287995889,0,241069,UNC,171338,2294,UNCHAHAR
1/1/2019 0:00,971552860,0,92006,BAM,903244,7610,BERHAMPUR
