date,awb,status,customer,dc,c_id,c_pincode,city
3/1/2019 0:00,8501903345,2,231382,MLR,274217,5750,MANGALORE
3/1/2019 0:00,245177510,0,96047,MTD,662208,6706,MANANTHAVADY
3/1/2019 0:00,992968339,0,34004,BAM,721846,7600,BERHAMPUR
3/1/2019 0:01,919640646,0,96047,CCM,712799,7000,KOLKATA
3/1/2019 0:01,245177528,0,96047,CCW,194762,7000,KOLKATA
3/1/2019 0:01,996942706,2,811319,SOI,981057,7856,SONARI
3/1/2019 0:01,8500337182,2,52848,BHM,415947,4972,BISHRAMPUR
3/1/2019 0:01,8500339249,2,52848,BVE,482189,5242,BADVEL
3/1/2019 0:01,8500338777,0,52848,KJJ,895697,4962,KUNKURI
3/1/2019 0:01,8500338802,2,52848,NKK,847430,5184,NANDIKOTKUR
3/1/2019 0:01,8500338964,2,52848,KYD,816809,5157,KALYANDURG
3/1/2019 0:01,8500339257,0,52848,NGI,667862,5175,NAGARI
3/1/2019 0:01,8500339455,0,52848,RDG,647314,5158,RAYADURG
3/1/2019 0:01,8500339458,2,52848,GUN,811625,4731,GUNA
3/1/2019 0:01,996900943,0,811319,MON,867449,7610,MOHANA
3/1/2019 0:01,406189417,0,35375,TTU,139553,5722,TIPTUR
3/1/2019 0:02,919640725,0,96047,SRG,632224,6217,SRIRANGAM
3/1/2019 0:02,919640476,0,96047,STN,864843,2280,SULTANPUR
3/1/2019 0:02,991682686,0,28992,MTB,611390,7361,MATHABHANGA
3/1/2019 0:02,992968347,0,34004,SBP,699414,7680,SAMBALPUR
3/1/2019 0:02,406233117,0,35375,BAX,613320,3037,BAGRU
3/1/2019 0:02,406234996,2,35375,HRY,594739,2721,HARAIYA
3/1/2019 0:02,996784779,0,28446,SUK,617909,4941,SUKMA
3/1/2019 0:03,2000081793,0,53463,BOW,884059,4000,MUMBAI
3/1/2019 0:03,919640162,0,96047,SOC,181842,7930,SHILLONG
3/1/2019 0:03,919640589,0,96047,NIA,950615,4584,NIMACH
3/1/2019 0:03,996982228,2,811319,BBB,709699,7520,BHUBANESWAR
3/1/2019 0:03,992968286,0,34004,SBP,342877,7680,SAMBALPUR
3/1/2019 0:03,996925617,0,811319,MNB,305123,1811,MIRANSAHIB
3/1/2019 0:03,271878719,0,35375,TDZ,443460,6855,THODUPUZHA
3/1/2019 0:03,406228078,0,35375,PIO,182828,4739,PICHHORE
3/1/2019 0:03,8501003005,0,231382,SVG,648694,6305,SIVAGANGAI
3/1/2019 0:03,406227268,0,35375,ARW,331163,8044,ARWAL
3/1/2019 0:03,406032874,2,35375,SSB,769205,4604,SHAHPUR
3/1/2019 0:03,991682646,0,28992,RGN,936242,7340,RAJGANJ
3/1/2019 0:03,245177484,0,96047,KVZ,736113,5241,KAVALI
3/1/2019 0:03,996784896,0,28446,KID,479206,7681,KUCHINDA
3/1/2019 0:03,2501108801,0,231382,SIV,593384,6262,SIVAKASI
3/1/2019 0:03,996919525,0,811319,MIZ,786985,2844,MAHRAUNI
3/1/2019 0:03,244529604,0,34004,MUI,856522,5721,MADHUGIRI
3/1/2019 0:03,996796531,0,28446,RJL,702528,8242,RAJAULI
3/1/2019 0:04,245177440,0,96047,CCA,406349,7000,KOLKATA
3/1/2019 0:04,245177450,0,96047,BTT,781080,3440,BALOTRA
3/1/2019 0:04,245177489,0,96047,PNJ,222540,4030,PANJIM
3/1/2019 0:04,919640648,0,96047,CCB,363049,7000,KOLKATA
3/1/2019 0:04,919640605,0,96047,KLD,296230,6785,Kollengode
3/1/2019 0:04,919640737,0,96047,KGZ,299180,5042,KAGHAZNAGAR
3/1/2019 0:04,245177588,0,96047,RPB,677930,4920,RAIPUR
3/1/2019 0:04,968395668,2,34004,KUS,659617,7331,KUSHMANDI
3/1/2019 0:04,997035295,0,28446,SBN,388380,7670,SONEPUR
3/1/2019 0:04,8500247638,2,10638,KKK,694791,6915,KOTTARAKARRA
3/1/2019 0:04,992968287,0,34004,MLD,519221,7321,MALDA
3/1/2019 0:04,271879111,0,35375,JRN,611453,3067,JAITARAN
3/1/2019 0:04,992968289,0,34004,BAM,407407,7600,BERHAMPUR
3/1/2019 0:04,406181727,0,35375,SDX,400641,2333,SAIDPUR
3/1/2019 0:04,996782315,0,28446,BUO,130589,7620,BOUDH
3/1/2019 0:04,992968265,0,34004,CCT,776180,7001,KOLKATA
3/1/2019 0:05,984631544,2,92006,DMV,442368,7971,DIMAPUR
3/1/2019 0:05,919640535,0,96047,RBT,981421,2312,ROBERTSGANJ
3/1/2019 0:05,919640639,0,96047,BIA,529283,4900,BHILAI
3/1/2019 0:05,406230354,2,35375,JDN,685201,7660,JUNAGADA
3/1/2019 0:05,2500420099,0,811319,PPM,127294,5355,PARVATHIPURAM
3/1/2019 0:05,996967221,0,811319,MAJ,826087,2435,MIRGANJ
3/1/2019 0:05,996929449,0,811319,SOI,526535,7856,SONARI
3/1/2019 0:05,406234909,0,35375,RKO,647900,3114,KOTRI
3/1/2019 0:05,984635366,2,92006,SMB,713644,8543,SIMRAHI BAZAR
3/1/2019 0:05,281799143,0,28446,JJA,802428,8472,JHANJHARPUR
3/1/2019 0:05,992968288,0,34004,PKR,343930,8161,PAKUR
3/1/2019 0:05,2501631402,0,241069,BOK,246075,4000,MUMBAI
3/1/2019 0:06,919640604,0,96047,GRN,960422,5612,GAURIBIDANUR
3/1/2019 0:06,992968317,0,34004,CCE,949872,7001,KOLKATA
3/1/2019 0:06,992968349,0,34004,CCE,618260,7001,KOLKATA
3/1/2019 0:06,271878927,0,35375,KEK,638955,3054,KEKRI
3/1/2019 0:06,406228536,0,35375,DOL,460761,8481,DHOLI
3/1/2019 0:06,8500337443,2,52848,ABN,652604,4920,ABHANPUR
3/1/2019 0:06,8500339359,0,52848,RPB,726653,4920,RAIPUR
3/1/2019 0:06,8500189906,2,10638,BHJ,935339,3700,BHUJ
3/1/2019 0:06,996776302,2,28446,SUK,782022,4941,SUKMA
3/1/2019 0:07,996863848,0,811319,JPG,403455,7352,JALPAIGURI
