date,awb,status,customer,dc,c_id,c_pincode,city
11/1/2018 0:00,280487878,0,501415,DIA,495343,1100,DELHI-111
11/1/2018 0:00,280503745,0,501415,HYO,506674,5000,HYDERABAD
11/1/2018 0:00,941921452,2,92006,KUL,461272,1922,KULGAM
11/1/2018 0:00,941921453,0,92006,SPN,581976,4656,SARANGPUR
11/1/2018 0:00,941921462,0,92006,GUE,658190,7810,GUWAHATI
11/1/2018 0:00,970114527,0,28446,DOI,154369,4702,DEORI
11/1/2018 0:00,970241151,0,28446,LAK,803587,4808,LAKHNADON
11/1/2018 0:00,970109243,0,28446,PNL,969275,4102,PANVEL
11/1/2018 0:00,970122808,0,28446,MXU,375352,4024,MURUD
11/1/2018 0:00,970401848,0,28446,BTX,654838,4811,BALAGHAT
11/1/2018 0:00,959832224,2,11007,ANA,568952,1921,ANANTNAG
11/1/2018 0:00,970373698,0,28446,ARJ,113172,4165,AJRA
11/1/2018 0:00,970047452,0,28446,BJI,293691,4763,BIJAIPUR
11/1/2018 0:00,959834537,0,11007,BGS,130502,8511,BEGUSARAI
11/1/2018 0:00,959818644,2,11007,MKI,620798,8454,MOTIHARI
11/1/2018 0:00,971665493,0,11007,LAT,513073,4135,LATUR
11/1/2018 0:00,971665847,2,11007,PYG,899378,2718,PAYAGPUR
11/1/2018 0:00,971665854,2,11007,MSU,897728,8044,MASHAURHI
11/1/2018 0:00,959818045,0,11007,NGN,425671,4400,NAGPUR
11/1/2018 0:00,111889263,0,11007,SWM,928296,3220,SAWAI MADHOPUR
11/1/2018 0:00,971665861,0,11007,DYA,888567,2062,DIBIYAPUR
11/1/2018 0:00,959818124,0,11007,RJR,891985,1404,RAJPURA
11/1/2018 0:00,959818150,0,11007,MRN,310751,7856,MORANHAT
11/1/2018 0:00,959834035,0,11007,NED,156250,4316,NANDED
11/1/2018 0:00,959818163,2,11007,PTL,264959,1470,PATIALA
11/1/2018 0:00,959818162,2,11007,PHG,464163,1444,PHAGWARA
11/1/2018 0:00,959834030,2,11007,BTA,908162,1435,BATALA
11/1/2018 0:00,959834028,2,11007,DLU,874005,1100,DELHI-111
11/1/2018 0:00,959818034,0,11007,DLU,801452,1100,DELHI-111
11/1/2018 0:00,959834502,0,11007,ATQ,846857,1430,AMRITSAR
11/1/2018 0:00,959818561,0,11007,SAG,887879,4700,SAGAR
11/1/2018 0:00,971665977,0,11007,RBT,521599,2312,ROBERTSGANJ
11/1/2018 0:00,971665982,0,11007,MPI,905975,4444,MANGRUL PIR
11/1/2018 0:00,891831247,0,76314,WID,239476,4868,WAIDHAN
11/1/2018 0:00,249839857,0,35375,FTB,690149,1250,FATEHABAD
11/1/2018 0:00,971664263,0,11007,KKJ,736166,7833,KOKRAJHAR
11/1/2018 0:00,971665719,2,11007,CNU,903299,5042,CHENNUR
11/1/2018 0:00,971226767,0,811319,AIZ,580653,7960,AIZAWL
11/1/2018 0:00,971218200,0,811319,ELU,150581,5340,ELURU
11/1/2018 0:00,971060272,0,811319,BPJ,310367,4944,BIJAPUR
11/1/2018 0:00,971081448,2,811319,MDM,752947,6291,MARTHANDAM
11/1/2018 0:00,971114938,0,811319,AHX,754866,5160,KADAPA
11/1/2018 0:00,971127636,0,811319,CDM,295076,6080,CHIDAMBARAM
11/1/2018 0:00,971089967,0,811319,KRD,127151,4151,KARAD
11/1/2018 0:00,971249963,0,811319,KCI,544236,6820,KOCHI
11/1/2018 0:00,280159095,2,811319,MSU,768287,8044,MASHAURHI
11/1/2018 0:00,970682722,0,28446,ALE,474873,5061,ALER
11/1/2018 0:00,971223432,0,811319,GAN,446257,3820,GANDHI NAGAR
11/1/2018 0:00,971249581,2,811319,KTN,325861,3626,KUTIYANA
11/1/2018 0:00,971056975,0,811319,HDI,624750,2410,HARDOI
11/1/2018 0:00,971054299,0,811319,MPA,231831,6213,MANAPPARAI
11/1/2018 0:00,971119447,0,811319,BNN,144069,1481,BARNALA
11/1/2018 0:00,971081436,2,811319,NEV,909045,4141,NEVASA
11/1/2018 0:00,971053927,0,811319,BHN,699944,1270,BHIWANI
11/1/2018 0:00,971132032,0,811319,JPG,533599,7351,JALPAIGURI
11/1/2018 0:00,971078219,0,811319,AHP,567982,3822,AHMEDABAD
11/1/2018 0:00,971230382,0,811319,NUG,611694,8532,NAUGACHIA
11/1/2018 0:00,971230157,0,811319,GGT,767233,2628,GOLA GOKARANNATH
11/1/2018 0:00,971092861,0,811319,FLK,195036,7352,FALAKATA
11/1/2018 0:00,971079625,0,811319,GKK,940740,5913,GOKAK
11/1/2018 0:00,971245187,0,811319,ROU,315021,7700,ROURKELA
11/1/2018 0:00,971058473,0,811319,BMF,948112,4315,BASMAT
11/1/2018 0:00,971150121,0,811319,ATI,961156,6385,ANTHIYUR
11/1/2018 0:00,971122112,0,811319,NZD,373445,5212,NUZVID
11/1/2018 0:00,971145858,0,811319,TCR,813806,6280,THOOTHUKKUDI
11/1/2018 0:00,971067083,0,811319,BIG,159030,8022,BIKRAMGANJ
11/1/2018 0:00,971103522,0,811319,GTL,277465,5158,GUNTAKAL
